,title,country,documentLink,year,category,documentType,actors
144,Declaration of Amsterdam,European Union,https://www.regjeringen.no/contentassets/ba7ab6e2a0e14e39baa77f5b76f59d14/2016-04-08-declaration-of-amsterdam---final1400661.pdf,2018,Autonomous mobility,International agreement,EU Member States
145,Declaration of Cooperation on ‘AI for Europe’,European Union,https://ec.europa.eu/jrc/communities/sites/jrccties/files/2018aideclarationatdigitaldaydocxpdf.pdf,2018,AI in general,"Declaration, International agreement",EU Member States
146,Driverless Testing of Vehicles,USA,https://www.dmv.ca.gov/portal/dmv/detail/vr/autonomous/auto,2018,Autonomous mobility,Regulation,California Department of Motor Vehicles
147,"Ethical, Social and Political Challenges of AI in Health",Global,https://wellcome.ac.uk/sites/default/files/ai-in-health-ethical-social-political-challenges.pdf,2018,Health,Report,Wellcome Trust
148,European Commission Staff Working Document - Liability for emerging digital technologies (AI),European Union,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A52018SC0137,2018,AI in general,Report,European Commission
149,Maximising the benefits of Artificial Intelligence through future-proof rules on Text and Data Mining,Global,https://cdt.org/files/2018/04/OpenLetter-to-European-Commission-on-AI-and-TDM-9-April-2018-copy.pdf,2018,Data mining,Proposal,Center for Technology and Democracy
150,Open AI Charter,Global,https://blog.openai.com/openai-charter/,2018,AI in general,"Self-regulation, Ethics guidelines",Open AI
151,Policy on the Use of AI in the Healthcare Sector,United Arab Emirates,https://www.haad.ae/HAAD/LinkClick.aspx?fileticket=C5W0f0QCVto%3d&tabid=1276,2018,Health,Policy,Abu Dhabi Department of Health
152,Responsible AI in the Canadian Government,Canada,https://docs.google.com/document/d/1Sn-qBZUXEUG4dVk909eSg5qvfbpNlRhzIefWPtBwbxY/edit,2018,Public services,White paper,Government of Canada
153,The European AI Landscape,European Union,https://ec.europa.eu/digital-single-market/en/news/european-artificial-intelligence-landscape,2018,AI in general,Report,European Commission
154,AI at the Service of Citizens,Italy,https://ia.italia.it/assets/whitepaper.pdf,2018,AI in general,White paper,The Agency for Digital Italy
155,AI for Humanity - French Strategy for Artificial Intelligence,France,https://www.aiforhumanity.fr/en/,2018,AI in general,Strategy,French Government
156,Committee for Standardisation in AI,India,https://www.iitp.ac.in/index.php/latest-news/3248-ai-standardization-meeting-at-iitp-15th-november.html,2018,AI in general,Standardisation,Bureau of Indian Standards
157,Committee of experts on Human Rights Dimensions of automated data processing and different forms of AI (MSI-AUT),European Union,https://www.coe.int/en/web/freedom-expression/msi-aut#{%2232639232%22:[1]},2018,Automated Decision Systems,Advisory body,Council of Europe
158,DIN SPEC 92001 - Quality requirements and life cycle management for AI modules,Germany,https://www.din.de/en/about-standards/din-spec-en/business-plans/wdc-beuth:din21:288723757?sourceLanguage&destinationLanguage,2018,AI in general,Standardisation,German Institute for Standardization (DIN)
159,G7 Innovation Ministers' Statement on AI,"Canada, France, Germany, Italy, Japan, United Kingdom, USA",https://g7.gc.ca/en/g7-presidency/themes/preparing-jobs-future/g7-ministerial-meeting/chairs-summary/annex-b/,2018,AI in general,Statement,G7
160,Mitigating the Negative Impacts of Computing Through a Change to the Peer Review Process,Global,https://acm-fca.org/2018/03/29/negativeimpacts/,2018,AI in general,Self-regulation,Association for Computing Machinery
161,"Statement on Artificial Intelligence, Robotics and ‘Autonomous’ Systems",European Union,http://ec.europa.eu/research/ege/pdf/ege_ai_statement_2018.pdf,2018,AI in general,Ethics guidelines,European Group on Ethics in Science and New Technologies
162,Study On The Human Rights Dimensions Of Automated Data Processing Techniques (In Particular Algorithms) And Possible Regulatory Implications,European Union,https://rm.coe.int/algorithms-and-human-rights-study-on-the-human-rights-dimension-of-aut/1680796d10,2018,Automated Decision Systems,Report,"Council of Europe, Committee of Experts on Internet Intermediaries (MSI-NET)"
163,When Computers Decide: European Recommendations on Machine-Learned Automated Decision Making,"European Union, Russia, Switzerland, Norway, Serbia, Turkey",http://www.informatics-europe.org/component/phocadownload/category/10-reports.html?download=74:automated-decision-making-report,2018,Automated Decision Systems,White paper,"Informatics Europe, EUACM"
164,10 principles for public sector use of algorithmic decision making,United Kingdom,https://www.nesta.org.uk/blog/10-principles-for-public-sector-use-of-algorithmic-decision-making/,2018,Automated Decision Systems,Proposal,Nesta
165,Global Data Ethics Pledge,Global,https://github.com/Data4Democracy/ethics-resources,2018,Model and data management,Self-regulation,Data for Democracy
166,Guidelines on Automated individual decision-making and Profiling for the purposes of Regulation 2016/679 (GDPR),European Union,https://ec.europa.eu/newsroom/article29/item-detail.cfm?item_id=612053,2018,Automated Decision Systems,Guidelines,Article 29 Data Protection Working Party
167,Taskforce Distributed Ledgers and AI,Kenya,http://www.ict.go.ke/taskforce-on-distributed-ledgers-and-artificial-intelligence-presentation-schedule,2018,AI in general,Task force,"Ministry of Information, Communications and Technology"
168,"The Malicious Use of AI: Forecasting, Prevention, and Mitigation",Global,https://img1.wsimg.com/blobby/go/3d82daa4-97fe-4096-9c6b-376b92c619de/downloads/1c6q2kc4v_50335.pdf,2018,AI in general,Report,Future of Humanity Institute
169,Artificial Intelligence Job Opportunities and Background Summary Act of 2018 (AI JOBS Act of 2018),USA,https://www.congress.gov/bill/115th-congress/house-bill/4829,2018,AI in general,Bill,US House of Representatives
170,Digital Growth Strategy,Denmark,https://eng.em.dk/media/10566/digital-growth-strategy-report_uk_web-2.pdf,2018,AI in general,Strategy,"Ministry of Industry, Business and Financial Aff airs"
171,Driving Change - Technology and the Future of the automated vehicle,Canada,https://sencanada.ca/content/sen/committee/421/TRCM/Reports/COM_RPT_TRCM_AutomatedVehicles_e.pdf,2018,Autonomous mobility,Report,"Standing Senate Committee on Social Affairs, Science and Technology"
172,Legislation as code,New Zealand,https://www.digital.govt.nz/dmsdocument/95-better-rules-for-government-discovery-report/html,2018,Public services,Pilot,NZ Service Innovation Lab
173,Taiwan AI Action Plan,Taiwan,Taiwan AI Action Plan,2018,AI in general,Strategy,Government of Taiwan (Executive Yuan)
174,Unfairness by algorithm,Global,https://fpf.org/wp-content/uploads/2017/12/FPF-Automated-Decision-Making-Harms-and-Mitigation-Charts.pdf,2017,Automated Decision Systems,Report,Future of Privacy Forum
175,Ethically Aligned Design - Global Initiative on Ethics of Autonomous and Intelligent Systems,Global,https://ethicsinaction.ieee.org,2017,AI in general,Standardisation,IEEE
176,Finland's Age of Artificial Intelligence,Finland,http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160391/TEMrap_47_2017_verkkojulkaisu.pdf?sequence=1&isAllowed=y,2017,AI in general,Strategy,Department of Enterprise and Innovation at the Finnish Ministry of Economic Affairs and Employment
177,FUTURE of AI Act of 2017 (HR 4625 / S 2217),USA,https://www.congress.gov/bill/115th-congress/house-bill/4625/text,2017,AI in general,Proposed law,"US Senate, US House of Representatives"
178,Government AI Readiness Index,Global,https://www.oxfordinsights.com/government-ai-readiness-index/,2017,AI in general,Research,Oxford Insights
179,Three-Year Action Plan for Promoting Development of a New Generation Artificial Intelligence Industry (2018–2020),China,https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-government-outlines-ai-ambitions-through-2020,2017,AI in general,Action plan,Ministry of Industry and Information Technology
180,Top 10 Principles for Ethical AI,Switzerland,http://www.thefutureworldofwork.org/media/35420/uni_ethical_ai.pdf,2017,AI in general,Ethics guidelines,UNI Global Union
181,American Vision for Safer Transportation through Advancement of Revolutionary Technologies (AV START) Act,USA,https://www.congress.gov/bill/115th-congress/senate-bill/1885,2017,Autonomous mobility,Bill,US Senate
182,Draft Bill Governing the Experimental Use of Self-Driving Vehicles,Netherlands,https://www.government.nl/latest/news/2017/11/22/new-legislation-allows-for-the-testing-of-cars-with-remote-drivers,2017,Autonomous mobility,Legislation,Ministry of Infrastructure and Water Management
183,Group of Governmental Experts on Lethal Autonomous Weapons Systems (LAWS),Global,,2017,Lethal autonomous weapon systems,Report,United Nations
184,AI Policy Principles,Global,https://www.itic.org/dotAsset/50ed66d5-404d-40bb-a8ae-9eeeef55aa76.pdf,2017,AI in general,"Self-regulation, Policy principles",The Information Technology Industry Council (ITI)
185,An Act relative to criminal justice reform (S.2185),USA,https://malegislature.gov/Bills/190/S2185/BillHistory,2017,Justice system,Bill,Massachusetts Senate
186,Austrian Council on Robotics and AI,Austria,https://www.acrai.at/en/,2017,AI in general,Advisory body,"Federal Ministry on Transport, Innovation and Technology"
187,Catalonia Living Lab for Connected and Automated Driving,Spain,http://catalonialivinglab.com/,2017,Autonomous mobility,Test environment,Catalan Government
188,DeepMind Ethics & Society,Global,https://deepmind.com/applied/deepmind-ethics-society/,2017,AI in general,Self-regulation,DeepMind
189,IBM AI Ethical Principles,Global,https://www.ibm.com/watson/ai-ethics/,2017,AI in general,Self-regulation,IBM
190,"Integrating Robotics, Artificial Intelligence and 3D Printing Technologies into Canada’s Healthcare Systems",Canada,https://sencanada.ca/content/sen/committee/421/SOCI/reports/RoboticsAI3DFinal_Web_e.pdf,2017,Health,Report,"Standing Senate Committee on Social Affairs, Science and Technology"
191,ISO AI Committee,Global,https://www.iso.org/committee/6794475.html,2017,AI in general,Standardisation,ISO
192,ITI AI Policy Principles,Global,https://www.itic.org/dotAsset/50ed66d5-404d-40bb-a8ae-9eeeef55aa76.pdf,2017,AI in general,"Self-regulation, Policy principles",The Information Technology Industry Council (ITI)
193,NIST AI Standards Programme,USA,https://www.nist.gov/topics/artificial-intelligence,2017,AI in general,Standardisation,National Institute of Standards and Technology
194,Responsible AI and Robotics,United Kingdom,https://www.accenture.com/gb-en/company-responsible-ai-robotics,2017,AI in general,Ethics guidelines,Accenture
195,UAE Strategy for Artificial Intelligence,United Arab Emirates,https://government.ae/en/about-the-uae/strategies-initiatives-and-awards/federal-governments-strategies-and-plans/uae-strategy-for-artificial-intelligence,2017,AI in general,Strategy,UAE Government
196,Automated Driving Systems - A Vision for Safety 2.0,USA,https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/13069a-ads2.0_090617_v9a_tag.pdf,2017,Autonomous mobility,Regulation,US National Highway Traffic Safety Administration
197,COMEST Robot Ethics Guidelines,Global,http://unesdoc.unesco.org/images/0025/002539/253952E.pdf,2017,Robotics,Ethics guidelines,UNESCO
198,Data Broker Accountability and Transparency Act of 2018 (H.R. 6548),USA,https://www.congress.gov/bill/115th-congress/house-bill/6548/text,2017,Data protection,Proposed law,US House of Representatives
199,Ethical guidelines for applying predictive tools within human services,USA,https://metrolabnetwork.org/wp-content/uploads/2017/09/Ethical-Guidelines-for-Applying-Predictive-Tools-within-Human-Services_Sept-2017.pdf,2017,Public services,Ethics guidelines,Metrolab Network
200,Ethical Principles for Artificial Intelligence and Data Analytics,Global,http://www.siia.net/Portals/0/pdf/Policy/Ethical%20Principles%20for%20Artificial%20Intelligence%20and%20Data%20Analytics%20SIIA%20Issue%20Brief.pdf?ver=2017-11-06-160346-990,2017,Model and data management,Self-regulation,Software and Information Industry Association
201,SELF-DRIVE Act,USA,https://www.congress.gov/bill/115th-congress/house-bill/3388/,2017,Autonomous mobility,Bill,US House of Representatives
202,Data Ethics Canvas,United Kingdom,https://theodi.org/article/data-ethics-canvas/,2017,Model and data management,Resource,Open Data Institute
203,Task Force on Artificial Intelligence,India,http://dipp.nic.in/sites/default/files/Report_of_Task_Force_on_ArtificialIntelligence_20March2018_2.pdf,2017,AI in general,Task force,The Ministry of Commerce and Industry
204,AI and National Security,USA,https://www.belfercenter.org/sites/default/files/files/publication/AI%20NatSec%20-%20final.pdf,2017,National security,Research,Belfer Centre at Harvard
205,Algorithmic Accountability in Low and Middle Income Countries,Global,https://webfoundation.org/docs/2017/07/Algorithms_Report_WF.pdf,2017,Automated Decision Systems,White paper,World Wide Web Foundation
206,Draft AI R&D Guidelines for International Discussion,Japan,http://www.soumu.go.jp/main_content/000507517.pdf,2017,AI in general,Guidelines,Ministry of Internal Affairs and Communications
207,Mid-to Long-term Master Plan in Preparation for the Intelligent Information Society,South Korea,http://english.msit.go.kr/cms/english/pl/policies2/__icsFiles/afieldfile/2017/07/20/Master%20Plan%20for%20the%20intelligent%20information%20society.pdf,2017,AI in general,Strategy,Government of the Republic of Korea
208,Narrative Analysis of AI,USA,https://www.oodaloop.com/wp-content/uploads/2017/07/OCIA-NetAssessment-Artificial_Intelligence_Narrative_Analysis.pdf,2017,AI in general,Research,Department of Homeland Security
209,New Generation of Artificial Intelligence Development Plan,China,https://www.newamerica.org/cybersecurity-initiative/blog/chinas-plan-lead-ai-purpose-prospects-and-problems/,2017,AI in general,Strategy,Chinese State Council
210,Open Government Data Act,USA,https://www.congress.gov/bill/115th-congress/senate-bill/760,2017,Public services,Bill,US Senate
211,Software Pre-Certification Pilot,USA,https://www.fda.gov/MedicalDevices/DigitalHealth/DigitalHealthPreCertProgram/default.htm,2017,Health,"Pilot, Regulation",Food and Drug Administration
212,AI Select Committee,United Kingdom,https://www.parliament.uk/ai-committee,2017,AI in general,Select Committee,House of Lords
213,City of Espoo's AI Experiment,Finland,https://www.computerweekly.com/news/252451496/Finnish-city-Espoo-trials-artificial-intelligence-for-community-support,2017,Public services,Pilot,City of Espoo
214,Ethics Commission: Automated and Connected Driving,Germany,https://www.bmvi.de/SharedDocs/EN/publications/report-ethics-commission.pdf?__blob=publicationFile,2017,Autonomous mobility,Ethics guidelines,Federal Ministry of Transport and Digital Infrastructure
215,AI Caucus,USA,https://artificialintelligencecaucus-olson.house.gov/,2017,AI in general,Caucus,US Congress
216,Congressional AI Caucus,USA,https://artificialintelligencecaucus-olson.house.gov/,2017,AI in general,Caucus,US Congress
217,European Economic and Social Committee Opinion on AI,European Union,https://www.eesc.europa.eu/en/our-work/opinions-information-reports/opinions/artificial-intelligence,2017,AI in general,"Opinion, Ethics guidelines",European Economic and Social Committee
218,Explainable Artificial Intelligence (XAI),USA,https://www.darpa.mil/program/explainable-artificial-intelligence,2017,AI in general,Research,DARPA
219,Guidelines for Trials of Automated Vehicles,Australia,https://www.ntc.gov.au/codes-and-guidelines/automated-vehicle-trial-guidelines,2017,Autonomous mobility,Regulation,National Transport Commission
220,AI & Machine Learning Policy Paper,Global,https://www.internetsociety.org/wp-content/uploads/2017/08/ISOC-AI-Policy-Paper_2017-04-27_0.pdf,2017,AI in general,Policy paper,The Internet Society
221,AI Technology Strategy,Japan,http://www.nedo.go.jp/content/100865202.pdf,2017,AI in general,Strategy,Strategic Council for AI Technology
222,Innovation Corps Act of 2017 (H.R.1576),USA,https://www.congress.gov/bill/115th-congress/house-bill/1576?q=%7B%22search%22%3A%5B%22%5C%22Artificial+Intelligence%5C%22%22%5D%7D&r=5,2017,AI in general,Bill,US House of Representatives
223,"Microsoft's Fairness, Accountability, Transparency and Ethics in AI Group",Global,https://www.microsoft.com/en-us/research/group/fate/,2017,AI in general,Research,Microsoft
224,Pan-Canadian AI Strategy,Canada,https://www.cifar.ca/ai/pan-canadian-artificial-intelligence-strategy,2017,AI in general,Strategy,Canadian Institute for Advanced Research
225,"Toward a Controlled, Useful and Demystified Artificial Intelligence",France,http://www.senat.fr/rap/r16-464-1/r16-464-1-syn-en.pdf,2017,AI in general,Report,Parliamentary Office for Scientific and Technological Assessment
226,Code of Practice for the testing of autonomous vehicles,Isle of Man,https://www.gov.im/media/1355386/isle-of-man-code-of-practice-for-testing-of-autonomous-vehicles-final.pdf,2017,Autonomous mobility,Code of practice,Department of Infrastructure
227,Ethical Guidelines,Japan,http://ai-elsi.org/wp-content/uploads/2017/05/JSAI-Ethical-Guidelines-1.pdf,2017,AI in general,Ethics guidelines,The Japanese Society for Artificial Intelligence
228,Resolution on Civil Law Rules on Robotics,European Union,https://oeil.secure.europarl.europa.eu/oeil/popups/printsummary.pdf?id=1477231&l=en&t=D,2017,Robotics,Resolution,European Parliament
229,Vehicle Technology and Aviation Bill,United Kingdom,https://publications.parliament.uk/pa/bills/cbill/2016-2017/0143/cbill_2016-20170143_en_2.htm,2017,Autonomous mobility,Bill,Parliament
230,All-Party Parliamentary Group on AI,United Kingdom,https://www.appg-ai.org/,2017,AI in general,Advisory body,UK Parliament
231,Asilomar AI Principles,Global,https://futureoflife.org/ai-principles/,2017,AI in general,Ethics guidelines,Future of Life Institute
232,Statement on Algorithmic Transparency and Accountability,Global,https://www.acm.org/binaries/content/assets/public-policy/2017_usacm_statement_algorithms.pdf,2017,Automated Decision Systems,Self-regulation,Association for Computing Machinery
233,NHTSA Action on AVs,USA,All NHTSA Action on AVs,2016,Autonomous mobility,Regulation,US National Highway Traffic Safety Administration
234,Regulation on Autonomous Driving,Austria,http://www.austriatech.at/files/get/a8d601dc11a94cd3d431b68c4f846dbe/bgbla_2016_ii_402.pdf,2016,Autonomous mobility,Regulation,"Federal Ministry for Transport, Innovation and Technology"
235,Artificial Intelligence for Citizen Services,USA,https://www.gsa.gov/technology/government-it-initiatives/emerging-citizen-technology/artificial-intelligence-for-citizen-services,2016,Public services,Government community,US General Services Administration
236,Civil Law Rules on Robotics,European Union,,2016,Robotics,Report,European Parliament
237,National AI R&D Strategic Plan,USA,,2016,AI in general,Strategy,National Science and Technology Council
238,Federal Automated Vehicles Policy,USA,https://www.transportation.gov/sites/dot.gov/files/docs/AV%20policy%20guidance%20PDF.pdf,2016,Autonomous mobility,Regulation,US National Highway Traffic Safety Administration
239,Partnership on AI's Basic Tenets,Global,https://www.partnershiponai.org/tenets/,2016,AI in general,Ethics guidelines,Partnership on AI
240,Principles for Accountable Algorithms and a Social Impact Statement for Algorithms,Global,http://www.fatml.org/resources/principles-for-accountable-algorithms,2016,Automated Decision Systems,Proposal,FAT/ML
241,Automated Driving Action Plan 2016-2018,Austria,https://www.bmvit.gv.at/en/service/publications/downloads/action_automated_driving_2016-2018.pdf,2016,Autonomous mobility,Action plan,"Federal Ministry for Transport, Innovation and Technology"
242,AV Code of Practice,Austria,http://www.austriatech.at/files/get/ff2b99d60657b228a4c176ed11d6dfa3/codeofpractice_20160607_endfassung.pdf,2016,Autonomous mobility,Self-regulation,"Federal Ministry for Transport, Innovation and Technology"
243,Ethical Aspects of Cyber-Physical Systems,European Union,,2016,Robotics,Report,Science and Technology Options Assessment Agency
244,Legal and ethical reflections concerning robotics,European Union,,2016,Robotics,Policy briefing,Science and Technology Options Assessment Agency
245,Guide to the ethical design and application of robots and robotic systems,United Kingdom,https://www.bsigroup.com/en-GB/about-bsi/media-centre/press-releases/2016/april/-Standard--highlighting-the-ethical-hazards-of-robots-is-published/,2016,Robotics,Standardisation,British Standards Institute
246,Police Directive,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2016.119.01.0089.01.ENG,2016,Law enforcement,Directive,European Parliament and Council
247,Machine Intelligence Commission Proposal,United Kingdom,https://media.nesta.org.uk/documents/a_machine_intelligence_commission_for_the_uk_-_geoff_mulgan.pdf,2016,AI in general,Proposal,Nesta
248,Society 5.0,Japan,https://www.gov-online.go.jp/cam/s5/eng/,2016,AI in general,Strategy,Japanese Cabinet
249,Stanford 100 Year Study,Global,https://ai100.stanford.edu/,2014,AI in general,Research,Stanford University
250,Singapore Autonomous Vehicle Initiative,Singapore,https://www.lta.gov.sg/content/ltaweb/en/roads-and-motoring/managing-traffic-and-congestion/intelligent-transport-systems/savi.html,2014,Autonomous mobility,Partnership,Land Transport Authority
251,Supervisory Guidance on Model Risk Management (SR-11-7),USA,https://www.federalreserve.gov/supervisionreg/srletters/sr1107a1.pdf,2011,Finance,Regulation,US Federal Reserve
252,State-level AV laws,USA,http://www.ncsl.org/research/transportation/autonomous-vehicles-self-driving-vehicles-enacted-legislation.aspx,2011,Autonomous mobility,Legislation,US States
253,Principles of Robotics,United Kingdom,https://epsrc.ukri.org/research/ourportfolio/themes/engineering/activities/principlesofrobotics/,2010,Robotics,Ethics guidelines,UK Engineering and Physical Sciences Research Council
254,Communications Decency Act of 1996,USA,https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/13069a-ads2.0_090617_v9a_tag.pdf,1996,Intermediaries,Legislation,US Senate
255,Equal Credit Opportunity Act,USA,http://uscode.house.gov/view.xhtml?path=/prelim@title15/chapter41/subchapter4&edition=prelim,1974,Finance,Federal law,US House of Representatives
